frame.time,ip.src_host,ip.dst_host,arp.dst.proto_ipv4,arp.opcode,arp.hw.size,arp.src.proto_ipv4,icmp.checksum,icmp.seq_le,icmp.transmit_timestamp,icmp.unused,http.file_data,http.content_length,http.request.uri.query,http.request.method,http.referer,http.request.full_uri,http.request.version,http.response,http.tls_port,tcp.ack,tcp.ack_raw,tcp.checksum,tcp.connection.fin,tcp.connection.rst,tcp.connection.syn,tcp.connection.synack,tcp.dstport,tcp.flags,tcp.flags.ack,tcp.len,tcp.options,tcp.payload,tcp.seq,tcp.srcport,udp.port,udp.stream,udp.time_delta,dns.qry.name,dns.qry.name.len,dns.qry.qu,dns.qry.type,dns.retransmission,dns.retransmit_request,dns.retransmit_request_in,mqtt.conack.flags,mqtt.conflag.cleansess,mqtt.conflags,mqtt.hdrflags,mqtt.len,mqtt.msg_decoded_as,mqtt.msg,mqtt.msgtype,mqtt.proto_len,mqtt.protoname,mqtt.topic,mqtt.topic_len,mqtt.ver,mbtcp.len,mbtcp.trans_id,mbtcp.unit_id,Attack_label,Attack_type
 2021 19:37:57.901397000 ,192.168.0.128,192.168.0.170,0,0.0,0.0,0,0.0,0.0,0.0,0.0,"<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">\n<html><head>\n<title>404 Not Found</title>\n</head><body>\n<h1>Not Found</h1>\n<p>The requested URL was not found on this server.</p>\n<hr>\n<address>Apache/2.4.38 (Raspbian) Server at 192.168.0.128 Port 80</address>\n</body></html>\n",277.0,0,0,0,0,0,1.0,0.0,23191.0,3966308766.0,2300.0,0.0,0.0,0.0,0.0,50344.0,24.0,1.0,495.0,0101080a49438c2c3fc26083,485454502f312e3120343034204e6f7420466f756e640d0a446174653a204d6f6e2c2030362044656320323032312031383a33373a353720474d540d0a5365727665723a204170616368652f322e342e33382028526173706269616e290d0a436f6e74656e742d4c656e6774683a203237370d0a4b6565702d416c6976653a2074696d656f75743d352c206d61783d33300d0a436f6e6e656374696f6e3a204b6565702d416c6976650d0a436f6e74656e742d547970653a20746578742f68746d6c3b20636861727365743d69736f2d383835392d310d0a0d0a3c21444f43545950452048544d4c205055424c494320222d2f2f494554462f2f4454442048544d4c20322e302f2f454e223e0a3c68746d6c3e3c686561643e0a3c7469746c653e343034204e6f7420466f756e643c2f7469746c653e0a3c2f686561643e3c626f64793e0a3c68313e4e6f7420466f756e643c2f68313e0a3c703e546865207265717565737465642055524c20776173206e6f7420666f756e64206f6e2074686973207365727665722e3c2f703e0a3c68723e0a3c616464726573733e4170616368652f322e342e33382028526173706269616e2920536572766572206174203139322e3136382e302e31323820506f72742038303c2f616464726573733e0a3c2f626f64793e3c2f68746d6c3e0a,43172.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Vulnerability_scanner
 2021 19:13:49.891330000 ,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112575.0,2371737256.0,21809.0,0.0,0.0,0.0,0.0,60944.0,16.0,1.0,1440.0,0,cba7993ad09d55050c06ea93b7829e5c0e4a28e7289d3f0809c7917e678443fc64494abfd29b248c8d940ed802f72ec24f0cffd87c60abe5ccf191f7b9852de2c39bfcfb2f2f47f604a1dc1dc8a3e5d0438bd3c1a893e02d5a3bfe33c19650f3b20c017cb359b00a673ffc227c58eed2698edbf0c9cd13ea4b308549bcf99d8041d8207a39fcf73374d918c3eb49894e58e79b6c5a974e25b3eb70913e63b4bbe68f70b74887ea690676b0b8b95b5d50e232eb9188a4980a28b465056388218aab92450138b615888b5b9907843d6e1ba91a1a649022f40a8d0f9369d990b85b750c9632614d2c128c5d08b39891812ab894ddb5543033fd72db79cee69137092dd57585c4b7599e9bacf4607f42cb0a8cd3ccdaad23549153331aee7c8ef7a5db83c35f4a52b9cdd61ceb240e0311e3a0d4aee08ad64cdd84c54e90929a904f45280f9dfa86501c0101242659c0d7892d688bde2cadb4de1579278e2d2030a31654914e7190a86db9eb033eb36580afc762354a66fab467090bb29c53e93ced30b535f394f48135c0eb2e1acb0ccc0ee9f30023cef844e34c15c00d41770e29d719509428094870f79845a55618568b9a78c52b83445aa36a5291b7e228356165a3e661ea47f27934fe7f33bdd6549ab1889b80afe166f14136e3b7f3ebe51fa473f7bb56b7e28ff7e51365013872e9af9a52cb8e48166ac5016cdb6b55acede70e9c15cd5e756f94cddecfdf698139e19efc55fd43f9123571be7da3d1220628b42760a3bee1d1bfa783990e813a76f996f34df943fe93ceee9fee91613a7882f55b91a5a543dea0fa2d63b9c3bb0ea5d1ef52c2d1a21342b63945ec76a689894fd6796f3c78cc29d90c2a953f18253b613448f4672e24267b2cd360e253f7b0593425e1d70e60ee7aff7e28e43d07f41616b05a5aff950dbdd9d5bd0f5109615c62149f41c58ab88041b490b0e3c6a0123038528309c708705d4537b7e6a472f2f401a39ecff95416f6e19d9c33e4d9e4b25430cc10539412a4832cfc554da3486208b0aa6ea4d3ea0ef967fdc163b3311e9dede2d3e8f147a76265e75d2c8d16a046ba9906aa16b20983b2a9d7ee2cc06b0e5e5bc9be27f669be53a0bd2804a8f64b642215da2d8a1cb6da4f7866da9e7e98576f12b52233287b68226e18cd20ad71499e71e8be12d6e53da72a5d9c2f1d6250447f54b2e32584b9cb6122bedfe389e4feb104ffb79b5ac5dbf6f45aa8a15e85dedb4fb8776e315d0889e65c5fa7a5a3b2b2ccae4c37731881cf7c5a3c545b8dc515011d15d2001194fc0da20b94702d19f1ea5ffe0d0d0b5c44c764d741132a1aa2dfd19c15e63a4011d0c5eccc9fa6387bc9faa2db04ebff1b34665dcef74534f247b3e15f5c56c33f4f3ab22c101780528239b2d5498b1dd1314498011a08e1225e82c1cada0a1184cb1aab2d5b75d8cdbb967f27884dfc3a36fae4c0a3303cf1694019803c7867e62d32288e147e11d5eb13730d0c1b0b2765b710d588e86293559edc4aca4cbd764fe1d5c0ed067e4bf2d6e31915bab58331c44955bfa80acac0395f9547c0f13f446a2bf410bf5eb70872ac212a3590ca131f5a43e2a5610986faaa09da4a7050553f85a02918386585dbfac1622d26a4632126fee9b3bcd5a2242d922d12f5b642b24511faf119b305c9fe3eca639196e9d34047e4e03c6bddd038eb94c829e0dd88d923c920a018d9c0628a61b93ac75fb1aaafd04c8ca3dde13a75865392c21905fdc636cfdcdb7bf053e6e053bcc25fc9d0dc03706f86adcef1e059fec1f802f365e07de2e88a2a25192b4d82fe636e6a6ec6126da42f89eb948029789c63573ba37ffaa79b03c2025e6dab33dec940eed6b72872512340478e37b7a16c57e907f94cf02781053bd99393471656981f7a18730a00c269f79913066821702525bd3be90e67fd9c952d3324c6859c59661aaacafe513c2aa224493fbdf4165c8a2a8be9f119f8cb1fdd4f67683f108f3306b04a51aa27c86125605962daa5362c,28007170.0,5900.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,Normal
 2021 21:37:19.868345000 ,192.168.0.170,192.168.0.128,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,479.0,365458899.0,5210.0,0.0,0.0,0.0,0.0,80.0,16.0,1.0,0.0,0101080a9b2040ff9eadd3d4,0,590.0,39422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,SQL_injection
 2021 19:40:05.330006000 ,192.168.0.170,192.168.0.128,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,441.0,2840858979.0,1417.0,0.0,0.0,0.0,0.0,80.0,16.0,1.0,0.0,0101080a9ab4ea4a9e427d30,0,103.0,32832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,XSS
 2021 19:25:53.130288000 ,192.168.0.128,192.168.0.170,0,0.0,0.0,0,0.0,0.0,0.0,0.0,"<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">\n<html><head>\n<title>404 Not Found</title>\n</head><body>\n<h1>Not Found</h1>\n<p>The requested URL was not found on this server.</p>\n<hr>\n<address>Apache/2.4.38 (Raspbian) Server at 192.168.0.128 Port 80</address>\n</body></html>\n",277.0,0,0,0,0,0,1.0,0.0,18256.0,4240870607.0,3081.0,0.0,0.0,0.0,0.0,48822.0,24.0,1.0,495.0,0101080a49387d093fb74ec6,485454502f312e3120343034204e6f7420466f756e640d0a446174653a204d6f6e2c2030362044656320323032312031383a32353a353320474d540d0a5365727665723a204170616368652f322e342e33382028526173706269616e290d0a436f6e74656e742d4c656e6774683a203237370d0a4b6565702d416c6976653a2074696d656f75743d352c206d61783d34380d0a436f6e6e656374696f6e3a204b6565702d416c6976650d0a436f6e74656e742d547970653a20746578742f68746d6c3b20636861727365743d69736f2d383835392d310d0a0d0a3c21444f43545950452048544d4c205055424c494320222d2f2f494554462f2f4454442048544d4c20322e302f2f454e223e0a3c68746d6c3e3c686561643e0a3c7469746c653e343034204e6f7420466f756e643c2f7469746c653e0a3c2f686561643e3c626f64793e0a3c68313e4e6f7420466f756e643c2f68313e0a3c703e546865207265717565737465642055524c20776173206e6f7420666f756e64206f6e2074686973207365727665722e3c2f703e0a3c68723e0a3c616464726573733e4170616368652f322e342e33382028526173706269616e2920536572766572206174203139322e3136382e302e31323820506f72742038303c2f616464726573733e0a3c2f626f64793e3c2f68746d6c3e0a,25742.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Vulnerability_scanner
 2021 23:23:19.570456000 ,52.134.158.158,192.168.0.128,0,0.0,0.0,0,7272.0,37012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,DDoS_ICMP
 2021 20:20:01.255690000 ,192.168.0.128,192.168.0.170,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,1.0,181787715.0,59603.0,0.0,0.0,0.0,1.0,34636.0,18.0,1.0,0.0,020405b40402080a7b8cad53e817c1ea01030307,0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Password
 2021 17:06:15.651895000 ,192.168.0.128,192.168.0.170,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,1.0,3598454721.0,24587.0,0.0,0.0,0.0,1.0,48384.0,18.0,1.0,0.0,020405b40402080a7adb4a18e766540101030307,0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Password
 2021 21:24:06.161667000 ,192.168.0.101,192.168.0.128,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2588135748.0,22621.0,0.0,0.0,0.0,0.0,1883.0,16.0,1.0,0.0,0,0,59.0,55235.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,Normal
 2021 19:06:58.968369000 ,46.133.115.199,192.168.0.128,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1363996585.0,1363996585.0,37145.0,0.0,0.0,1.0,0.0,80.0,2.0,0.0,120.0,0.0,585858585858585858585858585858585858585858585858585858585858585858585858585858585858585858585858585858585858585858585858585858585858585858585858585858585858585858585858585858585858585858585858585858585858585858585858585858585858585858585858,0.0,18918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,DDoS_TCP
 2021 19:40:18.961953000 ,192.168.0.128,192.168.0.170,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,4010.0,2881312042.0,40898.0,0.0,0.0,0.0,0.0,50814.0,16.0,1.0,1448.0,0101080a4945b3313fc486c1,746d6c70757269666965722f48544d4c50757269666965722f436f6e666967536368656d612f736368656d612f436f72652e4c616e67756167652e7478740000000000000061a401a714aa8f0f61a401a714aa8f0f0000b3020011e05b000081a400000000000000000000041e62125a4710c780d55fee2e1c4395b6d7c33c3d16006465787465726e616c2f7068706964732f302e362f6c69622f4944532f76656e646f72732f68746d6c70757269666965722f48544d4c50757269666965722f436f6e666967536368656d612f736368656d612f436f72652e4c65786572496d706c2e74787400000000000061a401a714aa8f0f61a401a714aa8f0f0000b3020011e05c000081a4000000000000000000000228de10208f85b8be74a2a628f389f2f3d591f6e39b006e65787465726e616c2f7068706964732f302e362f6c69622f4944532f76656e646f72732f68746d6c70757269666965722f48544d4c50757269666965722f436f6e666967536368656d612f736368656d612f436f72652e4d61696e7461696e4c696e654e756d626572732e7478740000000061a401a714aa8f0f61a401a714aa8f0f0000b3020011e05d000081a40000000000000000000001467ac86b3169aa22887853d44e24b449b397d49183006b65787465726e616c2f7068706964732f302e362f6c69622f4944532f76656e646f72732f68746d6c70757269666965722f48544d4c50757269666965722f436f6e666967536368656d612f736368656d612f436f72652e52656d6f7665496e76616c6964496d672e7478740000000000000061a401a714aa8f0f61a401a714aa8f0f0000b3020011e05e000081a400000000000000000000010c531718ba7b425fd683c063f3dd1e2b81305067f7006f65787465726e616c2f7068706964732f302e362f6c69622f4944532f76656e646f72732f68746d6c70757269666965722f48544d4c50757269666965722f436f6e666967536368656d612f736368656d612f436f72652e52656d6f7665536372697074436f6e74656e74732e74787400000061a401a714aa8f0f61a401a714aa8f0f0000b3020011e05f000081a400000000000000000000003d3240014d199af1d8dfb29a9f6e892be471ebb685005a65787465726e616c2f7068706964732f302e362f6c69622f4944532f76656e646f72732f68746d6c70757269666965722f48544d4c50757269666965722f436f6e666967536368656d612f736368656d612f436f72652e747874000000000000000061a401a714aa8f0f61a401a714aa8f0f0000b3020011e060000081a4000000000000000000000126be67d63e038eecfb02864723c5a5ae0c8b19855e006365787465726e616c2f7068706964732f302e362f6c69622f4944532f76656e646f72732f68746d6c70757269666965722f48544d4c50757269666965722f436f6e666967536368656d612f736368656d612f46696c7465722e437573746f6d2e7478740000000000000061a401a714aa8f0f61a401a714aa8f0f0000b3020011e061000081a4000000000000000000000b04bba9223075390b0e5e532f74f3438dfaa9887693006f65787465726e616c2f7068706964732f302e362f6c69622f4944532f76656e646f72732f68746d6c70757269666965722f48544d4c50757269666965722f436f6e666967536368656d612f736368656d612f46696c7465722e457874726163745374796c65426c6f636b732e74787400000061a401a714aa8f0f61a401a714aa8f0f0000b3020011e062000081a4000000000000000000000139cdcb3790d81df329b178805dbaaac68eabb4911a006465787465726e616c2f7068706964732f302e362f6c69622f4944532f76656e646f72732f68746d6c70757269666965722f48544d4c50757269666965722f436f6e666967536368656d612f736368656d612f46696c7465722e596f75547562652e74787400000000000061a401a714aa8f0f61a401,41629.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Vulnerability_scanner
 2021 19:44:20.823462000 ,192.168.0.170,192.168.0.128,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,441.0,3645563407.0,4512.0,0.0,0.0,0.0,0.0,80.0,16.0,1.0,0.0,0101080a9ab8d04d9e466334,0,103.0,32916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,XSS
 2021 18:34:53.462143000 ,192.168.0.170,192.168.0.128,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1874273.0,2580176156.0,50495.0,0.0,0.0,0.0,0.0,56322.0,16.0,1.0,0.0,0101080a3d7a6c322b105c39,0,1.0,4321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Backdoor
 2021 19:03:45.416502000 ,192.168.0.128,192.168.0.101,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,2054038112.0,56269.0,0.0,0.0,0.0,0.0,60906.0,16.0,1.0,0.0,0,0,5.0,1883.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,Normal
 2021 18:13:10.551263000 ,192.168.0.170,192.168.0.128,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756513.0,2579058396.0,38622.0,0.0,0.0,0.0,0.0,56322.0,16.0,1.0,0.0,0101080a3d668a8c2afc7ab9,0,1.0,4321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Backdoor
